"","tinh","huyen","year","W_mean_WI","non_w_mean_WI","n"
"197",2,34,2016,2.81773814207348,2.78433431547729,5
"198",2,34,2018,NA,2.6254154004451,5
"199",2,35,2010,2.17097546441208,2.18932632820429,5
"200",2,35,2012,2.11050124097397,2.21760469387691,5
"201",2,35,2014,2.99015724287611,2.84764772385821,5
"202",2,35,2016,3.38925521575699,3.29217742766016,5
"203",2,35,2018,NA,2.48540446232739,5
"204",4,40,2010,3.16868022142259,3.16731779806451,5
"205",4,40,2012,3.54639963177133,3.54431792518751,5
"206",4,40,2014,3.70147766938253,3.71287979902975,5
"207",4,40,2016,3.80676904379718,3.82815302891453,5
"208",4,40,2018,NA,3.49565110759873,5
"209",4,42,2010,1.58358023768721,1.59896962182987,5
"210",4,42,2012,1.81378768456003,1.80040485387685,5
"211",4,42,2014,1.14594053706812,1.18398125535559,5
"212",4,42,2016,1.46243119221481,1.47685148508777,5
"213",4,42,2018,NA,1.27920833653478,5
"214",4,43,2010,1.78152099889778,1.78078340056827,5
"215",4,43,2012,2.16119725327184,2.15974505424623,5
"216",4,43,2014,2.26802896991826,2.23042323368482,5
"217",4,43,2016,2.36160816551273,2.35254498070507,5
"218",4,43,2018,NA,2.02129387999339,5
"219",4,44,2010,1.72148167642414,1.69860261847853,5
"220",4,44,2012,1.61460671996547,1.61714653213488,5
"221",4,44,2014,2.2828198046194,2.29344364471705,5
"222",4,44,2016,2.38864811569409,2.38699058069946,5
"223",4,44,2018,NA,2.01790839685236,5
"224",4,45,2010,2.02241558895168,2.0115981222802,5
"225",4,45,2012,2.24809346776946,2.23627724789702,5
"226",4,45,2014,2.56945860236176,2.57407719586282,5
"227",4,45,2016,2.75389436661132,2.73813064757865,5
"228",4,45,2018,NA,2.49152947068881,5
"229",4,46,2010,2.24012518155259,2.24012518155259,5
"230",4,46,2012,2.28124020781189,2.28124020781189,5
"231",4,46,2014,2.98719517912981,2.98719517912981,5
"232",4,46,2016,3.00418923439484,3.00418923439484,5
"233",4,46,2018,NA,2.67773112381679,5
"234",4,47,2010,2.24149010711145,2.24203070541863,5
"235",4,47,2012,2.18075029117258,2.17492694685142,5
"236",4,47,2014,2.43619558565855,2.4350966989996,5
"237",4,47,2016,2.83347635942576,2.84117982493381,5
"238",4,47,2018,NA,2.81212958361285,5
"239",4,48,2010,2.24997438280929,2.2551589672234,5
"240",4,48,2012,2.2919700533772,2.2659582300818,5
"241",4,48,2014,2.49100968190473,2.48938658445425,5
"242",4,48,2016,3.22742155672701,3.15884965395494,5
"243",4,48,2018,NA,2.39575907801792,5
"244",4,49,2010,1.99594458219095,1.99756319901241,5
"245",4,49,2012,1.92726401739053,1.92891012592947,5
"246",4,49,2014,2.1421269237244,2.14372960043433,5
"247",4,49,2016,2.61639346409847,2.61715186045917,5
"248",4,49,2018,NA,2.24906548378667,5
"249",4,51,2010,2.89717536032075,2.89668680828656,5
"250",4,51,2012,2.82178097923551,2.8221427692726,5
"251",4,51,2014,2.81083986108918,2.81105588104286,5
"252",4,51,2016,2.85270964905096,2.85151705508967,5
"253",4,51,2018,NA,2.65752926932323,5
"254",4,52,2010,2.21115788493965,2.24206055406249,5
"255",4,52,2012,2.404673755753,2.38217042680784,5
"256",4,52,2014,2.78240262270564,2.75464255016866,5
"257",4,52,2016,2.65625267721061,2.70204279975792,5
"258",4,52,2018,NA,2.18173328302028,5
"259",4,53,2010,1.37426504955167,1.37086234241706,5
"260",4,53,2012,1.72800700453623,1.7219712163681,5
"261",4,53,2014,2.33486392862272,2.3377759267371,5
"262",4,53,2016,2.08386781266347,2.07494965524732,5
"263",4,53,2018,NA,2.05139538337678,5
"264",6,58,2010,3.11195687497308,3.12413683284221,5
"265",6,58,2012,3.66340194690103,3.70171127978683,5
"266",6,58,2014,3.6172641373745,3.62252998559221,5
"267",6,58,2016,3.33821410954703,3.73936762896801,5
"268",6,58,2018,NA,3.33415378737512,5
"269",6,60,2010,2.10713884450951,2.07926761547625,5
"270",6,60,2012,2.2024849319179,2.25396833970473,5
"271",6,60,2014,2.97899254139718,2.98200864776457,5
"272",6,60,2016,2.99109840168883,2.96183539385847,5
"273",6,60,2018,NA,2.37983671233144,5
"274",6,61,2010,2.16757972555186,2.18565518595511,5
"275",6,61,2012,2.36715316143408,2.45547364772987,5
"276",6,61,2014,2.75803045511723,2.76261726536709,5
"277",6,61,2016,2.63093828402728,2.53260541331115,5
"278",6,61,2018,NA,2.53093555137918,5
"279",6,62,2010,2.35252267151566,2.36846454801241,5
"280",6,62,2012,1.89550106497729,1.91058990233935,5
"281",6,62,2014,1.9192341788885,1.93792399073752,5
"282",6,62,2016,1.96875561591816,2.18238823175836,5
"283",6,62,2018,NA,2.51906138104475,5
"284",6,63,2010,2.69449163982581,2.72257938416795,5
"285",6,63,2012,2.65229856115239,2.66683495334268,5
"286",6,63,2014,2.94325957986191,2.9605215566543,5
"287",6,63,2016,3.31344133656111,3.31916267335875,5
"288",6,63,2018,NA,2.72271498037143,5
"289",6,64,2010,2.68716683363756,2.67889815996885,5
"290",6,64,2012,2.62150251797988,2.64056559177153,5
"291",6,64,2014,2.1453006350569,2.17787028678613,5
"292",6,64,2016,2.57431559536051,2.57677452171109,5
"293",6,64,2018,NA,2.20020051486633,5
"294",6,65,2010,2.85106678695537,2.82438335891299,5
"295",6,65,2012,2.75221795540769,2.77141547127983,5
"296",6,65,2014,2.71811790163346,2.70901511385017,5
"297",6,65,2016,2.02078783305355,2.7104735288578,5
"298",6,65,2018,NA,2.7212625700254,5
"299",6,66,2010,1.76349853069455,1.76427060243732,5
"300",6,66,2012,2.4343247542234,2.44469479387129,5
"301",6,66,2014,2.31753787131816,2.31908823818168,5
"302",6,66,2016,2.29902716600162,2.36413560754584,5
"303",6,66,2018,NA,2.63512347997705,5
"304",8,70,2010,3.26300041441207,3.26713659399988,5
"305",8,70,2012,3.6721922151681,3.66716578875688,5
"306",8,70,2014,3.51775011644572,3.47808129246666,5
"307",8,70,2016,3.55492999983825,3.52765759003838,5
"308",8,70,2018,NA,3.12620528967869,5
"309",8,71,2014,3.42641758204958,3.42641758204958,3
"310",8,71,2016,3.09342514643358,3.09342514643358,3
"311",8,71,2018,NA,2.55317730719738,3
"312",8,72,2010,1.97931083539337,1.98403898953294,5
"313",8,72,2012,2.49078567299726,2.56073655091857,5
"314",8,72,2014,3.1891936100856,3.13904141459348,5
"315",8,72,2016,2.90992603233629,2.91039421026192,5
"316",8,72,2018,NA,2.34145610021397,5
"317",8,73,2010,2.35081923884168,2.35519259681655,5
"318",8,73,2012,2.88843779176398,2.87681400238697,5
"319",8,73,2014,3.16170804999979,3.16650812339652,5
"320",8,73,2016,3.1355630510453,3.1350887118389,5
"321",8,73,2018,NA,2.7242076590959,5
"322",8,74,2010,2.57080550498819,2.57536253845584,5
"323",8,74,2012,2.83604207912856,2.86981831789574,5
"324",8,74,2014,2.57367469023127,2.61898209337634,5
"325",8,74,2016,2.5904617883061,2.70963454316603,5
"326",8,74,2018,NA,2.3267318316983,5
"327",8,75,2010,2.24290428214126,2.22760161064593,5
"328",8,75,2012,2.31813655571546,2.31890157558544,5
"329",8,75,2014,2.92633818244617,2.93684331872266,5
"330",8,75,2016,3.1637758945585,3.17753374920409,5
"331",8,75,2018,NA,2.96139141036309,5
"332",8,76,2010,2.62171772452926,2.6227172257532,5
"333",8,76,2012,3.13363518032472,3.148490486984,5
"334",8,76,2014,3.35182725477899,3.38669197603428,5
"335",8,76,2016,3.65235827081137,3.67496776097092,5
"336",8,76,2018,NA,3.30411882564693,5
"337",10,80,2010,3.75022854801255,3.73225817541171,5
"338",10,80,2012,3.77391928161484,3.78292927935124,5
"339",10,80,2014,3.91761089511825,3.92566953110535,5
"340",10,80,2016,3.88156496195814,3.91843328967941,5
"341",10,80,2018,NA,3.41144478912328,5
"342",10,82,2010,2.07551765533923,2.06794007114267,5
"343",10,82,2012,2.10709396363339,2.04682616450663,5
"344",10,82,2014,2.47769780375486,2.48196412005504,5
"345",10,82,2016,2.1784718730807,2.19833723929862,5
"346",10,82,2018,NA,1.93592677485998,5
"347",10,83,2010,1.59886911113824,1.6135342149422,5
"348",10,83,2012,1.719785939909,1.72356708329244,5
"349",10,83,2014,1.50629377371684,1.47809212153126,5
"350",10,83,2016,2.59519670555044,2.49689282837471,5
"351",10,83,2018,NA,2.05605513662445,5
"352",10,84,2010,1.47630671754342,1.48826286905402,5
"353",10,84,2012,1.37820178920252,1.38065134497301,5
"354",10,84,2014,1.62633305275857,1.63157422066175,5
"355",10,84,2016,1.73956274487695,1.74510965138801,5
"356",10,84,2018,NA,2.11948666896196,5
"357",10,85,2010,1.71207063333921,1.76330318133425,5
"358",10,85,2012,2.11441541017799,2.07445026319939,5
"359",10,85,2014,2.91468232511468,2.93758536146706,5
"360",10,85,2016,3.00356084480358,2.89327934385146,5
"361",10,85,2018,NA,2.21008366959173,5
"362",10,86,2010,3.21606849103422,3.23301891517402,5
"363",10,86,2012,2.80993135541895,2.81039823250139,5
"364",10,86,2014,3.03332615360303,3.06264104489665,5
"365",10,86,2016,3.12285981899468,3.03549813827808,5
"366",10,86,2018,NA,3.00997839735834,5
"367",10,87,2010,1.81115743890231,1.87296857289141,5
"368",10,87,2012,2.42973245579596,2.44029137515506,5
"369",10,87,2014,2.42333872834491,2.47672045031777,5
"370",10,87,2016,2.57656275262714,2.60353586116042,5
"371",10,87,2018,NA,2.84103869866752,5
"372",10,88,2010,1.77293390350096,1.71518918699464,5
"373",10,88,2012,1.85743512550421,1.81400528188236,5
"374",10,88,2014,2.1952019980928,2.21611549535243,5
"375",10,88,2016,2.29074207359305,2.51420909097515,5
"376",10,88,2018,NA,1.99024839030955,5
"377",10,89,2010,1.34428197558025,1.3430449886831,5
"378",10,89,2012,2.24903997981997,2.27308471611281,5
"379",10,89,2014,2.60418026260108,2.53688950404594,5
"380",10,89,2016,2.73610832909168,2.69717989485478,5
"381",10,89,2018,NA,2.7034508385042,5
"382",11,94,2010,2.2084596293444,2.14404546577439,5
"383",11,94,2012,2.538933179447,2.53320194035945,5
"384",11,94,2014,2.9341917893489,2.80687286056223,5
"385",11,94,2016,3.36473118956978,3.36470699946784,5
"386",11,94,2018,NA,3.06282026137616,5
"387",11,95,2010,2.67149039485462,2.67149039485462,5
"388",11,95,2012,3.88984716551296,3.88984716551296,5
"389",11,95,2014,3.65828443907139,3.65828443907139,5
"390",11,95,2016,2.83602709528292,2.83602709528292,5
"391",11,95,2018,NA,2.82604556602762,5
"392",11,96,2010,1.37037205133496,1.37300624422122,5
"393",11,96,2012,1.32379869487899,1.41631274717258,5
"394",11,96,2014,1.01215369315535,1.18802590904506,5
"395",11,96,2016,1.54712524965881,1.74384586011121,5
"396",11,96,2018,NA,1.72918588304546,5
"397",11,97,2010,1.30423307408088,1.30202286845402,5
"398",11,97,2012,1.35516515953681,1.3425746078563,5
"399",11,97,2014,1.58359147032391,1.63690260488726,5
"400",11,97,2016,1.68551870027099,1.75995285742,5
"401",11,97,2018,NA,1.90584782417586,5
"402",11,98,2010,1.82689007537058,1.81521594433551,5
"403",11,98,2012,1.38407389896436,1.39059233843506,5
"404",11,98,2014,1.66576257083157,1.640141882666,5
"405",11,98,2016,1.64965005212576,1.65585952799316,5
"406",11,98,2018,NA,1.12691718814613,5
"407",11,99,2010,1.71428267493111,1.65771965285281,5
"408",11,99,2012,1.62336905030061,1.5643574656709,5
"409",11,99,2014,1.97059724438152,2.08620629334173,5
"410",11,99,2016,2.09910616013722,2.24662797863849,5
"411",11,99,2018,NA,1.97663251840797,5
"412",11,100,2010,2.4157618322746,2.42972229228812,5
"413",11,100,2012,2.45575386816992,2.47739160983097,5
"414",11,100,2014,3.19385956221947,3.12330035348887,5
"415",11,100,2016,2.91632629042284,3.00575667124949,5
"416",11,100,2018,NA,2.76679792398978,5
"417",11,101,2010,1.41100114567683,1.41395617068252,5
"418",11,101,2012,1.31490536533956,1.30179210493712,5
"419",11,101,2014,1.92365124092205,1.83849109607508,5
"420",11,101,2016,1.76272035643923,1.74376457934787,5
"421",11,101,2018,NA,1.8799428880477,5
"422",11,102,2010,1.40525727496876,1.40616682971388,5
"423",11,102,2012,2.27578125107713,2.28973640556787,5
"424",11,102,2014,2.35511949793384,2.37796926028952,5
"425",11,102,2016,2.33200953318098,2.34180658271925,5
"426",11,102,2018,NA,2.07933776321899,5
"427",11,103,2014,1.87596602626702,1.97978985477477,3
"428",11,103,2016,1.25205120580767,1.24874652822955,3
"429",11,103,2018,NA,0.895065480663919,3
"430",12,105,2010,3.30058328875109,3.30083911189111,5
"431",12,105,2012,3.47829607177181,3.47825821090161,5
"432",12,105,2014,3.42141272118922,3.43917435397266,5
"433",12,105,2016,3.49142100361686,3.4838797263353,5
"434",12,105,2018,NA,3.1089290433265,5
"435",12,106,2010,1.91898727199389,1.95461634054988,5
"436",12,106,2012,2.07610976321159,2.02773443420727,5
"437",12,106,2014,2.32728172916792,2.15220471755297,5
"438",12,106,2016,2.53342058404539,2.53237892407799,5
"439",12,106,2018,NA,2.41138049103312,5
"440",12,107,2010,1.54249861067536,1.54023723849362,5
"441",12,107,2012,1.75413034975695,1.87871590819252,5
"442",12,107,2014,1.87193025561868,1.80402210571512,5
"443",12,107,2016,2.12286653575311,2.14541813469479,5
"444",12,107,2018,NA,2.01148445284789,5
"445",12,108,2010,1.35441797656228,1.36315378453022,5
"446",12,108,2012,1.43665371700182,1.42313588933156,5
"447",12,108,2014,1.97348971048799,1.89769489256175,5
"448",12,108,2016,2.06986237020083,2.08513315677818,5
"449",12,108,2018,NA,2.03685097288327,5
"450",12,109,2010,2.04955913575678,2.04478077564536,5
"451",12,109,2012,1.66995095376827,1.67343070488252,5
"452",12,109,2014,1.58072369206531,1.59585394382808,5
"453",12,109,2016,1.71640612674685,1.70213668037189,5
"454",12,109,2018,NA,1.58761553241018,5
"455",12,110,2010,1.88219275612816,1.89895656773028,5
"456",12,110,2012,2.22149370839777,2.24406601388134,5
"457",12,110,2014,2.50630835824958,2.48051557505921,5
"458",12,110,2016,2.90197053394441,2.94485285927987,5
"459",12,110,2018,NA,3.0213250707635,5
"460",12,111,2010,2.644702718043,2.65283224620271,5
"461",12,111,2012,2.26451404773675,2.33015986840309,5
"462",12,111,2014,2.56187973965067,2.54040402535832,5
"463",12,111,2016,2.91509745289189,2.8781325538369,5
"464",12,111,2018,NA,2.53889037807678,5
"465",12,112,2014,1.57846229455305,1.64933133769145,3
"466",12,112,2016,1.38281357508218,1.45714592908413,3
"467",12,112,2018,NA,1.69085355170085,3
"468",14,116,2010,2.34256980062517,2.34548517626649,5
"469",14,116,2012,2.793999716599,2.93401463371508,5
"470",14,116,2014,3.47197460781172,3.49984936412257,5
"471",14,116,2016,3.61319265090167,3.67769870481133,5
"472",14,116,2018,NA,3.04434823704508,5
"473",14,118,2010,2.34534011803973,2.34597289352301,5
"474",14,118,2012,1.96859724733232,1.86481040468982,5
"475",14,118,2014,2.50927698917736,2.50338951003325,5
"476",14,118,2016,2.63088191073573,2.6733758772706,5
"477",14,118,2018,NA,2.10844687644337,5
"478",14,119,2010,1.54812571662501,1.55390824246969,5
"479",14,119,2012,1.64934515203149,1.79699733585043,5
"480",14,119,2014,2.24917708601324,2.34547917289592,5
"481",14,119,2016,2.38686014665322,2.41655103027528,5
"482",14,119,2018,NA,1.98481856884076,5
"483",14,120,2010,2.65251005611515,2.64642431018025,5
"484",14,120,2012,2.00525867595504,2.00033398696218,5
