"matinh","mahuyen","maxa","year","mean_pos_WI"
1,4,136,2016,2.96819606357114
1,4,136,2019,2.98520143843042
1,4,139,2016,3.00000558532798
1,4,139,2019,3.0236988535809
1,4,142,2016,2.93744332074919
1,4,142,2019,2.96354151955832
1,4,145,2016,2.96999797909041
1,4,145,2019,2.96126960023664
1,4,148,2016,2.84836431133892
1,4,148,2019,2.96084723607278
1,4,151,2016,2.99700582867434
1,4,151,2019,2.99847622943213
1,4,154,2019,3.01290096414742
1,5,157,2016,3.0353690278112
1,5,157,2019,3.00938912033519
1,5,160,2016,3.02639557886421
1,5,160,2019,3.01975774446121
1,5,163,2016,2.95776743691265
1,5,163,2019,2.78285339020366
1,5,166,2016,2.95040839342552
1,5,166,2019,2.92671169689587
1,5,167,2016,2.97481048578059
1,5,167,2019,2.91349426024005
1,5,169,2016,2.85480228521051
1,5,169,2019,2.7743397709803
1,5,172,2016,3.06413549108049
1,5,172,2019,2.99328774503579
1,5,175,2016,3.02991086103498
1,5,175,2019,2.95739667647051
1,6,178,2016,2.97650416311811
1,6,178,2019,3.00506970038938
1,6,181,2016,2.95403964584088
1,6,181,2019,3.02458032200292
1,6,184,2019,3.00182519257907
1,6,187,2016,2.92722753410959
1,6,187,2019,2.79144749177954
1,6,190,2016,2.99661402404361
1,6,190,2019,3.03697416233783
1,6,193,2016,2.91221058604604
1,6,193,2019,2.97115566100961
1,6,196,2016,2.95417649347558
1,6,196,2019,2.98492953959946
1,6,199,2016,2.95001127752753
1,6,199,2019,2.95125729681526
1,6,202,2016,2.91151263739519
1,6,202,2019,3.01210377920776
1,6,205,2016,2.87730588030808
1,6,205,2019,3.01679457731841
1,6,208,2016,3.011996947878
1,6,208,2019,3.03789872745966
1,6,211,2016,2.86565036181259
1,6,211,2019,2.99111297489183
1,6,214,2019,3.03087801494276
1,6,217,2016,2.99398522249726
1,6,217,2019,2.98904040859827
1,6,220,2016,3.00426197658082
1,6,220,2019,3.00295547296822
