"matinh","mahuyen","maxa","year","mean_pos_WI"
1,7,295,2014,3.0953273427568
1,7,295,2019,3.07991805050409
1,7,298,2014,2.98157955481804
1,7,298,2019,3.10339154717552
1,8,301,2014,3.04962768385835
1,8,301,2019,2.9885313558283
1,8,304,2014,2.98856253145336
1,8,304,2019,2.99248144056648
1,8,307,2014,3.0261328286809
1,8,307,2019,3.0085517758472
1,8,310,2014,3.078451296762
1,8,310,2019,3.12746972930325
1,8,313,2014,3.04021998931214
1,8,313,2019,3.07476798024624
1,8,316,2014,3.06658486296986
1,8,316,2019,3.07532834759263
1,8,319,2014,3.10666829210747
1,8,319,2019,3.05258873160217
1,8,322,2014,3.07634469100569
1,8,322,2019,2.91823905808013
1,8,325,2014,3.09550442240419
1,8,325,2019,3.02542390506668
1,8,328,2014,3.07387974685028
1,8,328,2019,3.01110976766552
1,8,331,2014,3.06710729542389
1,8,331,2019,3.04393211287508
1,8,334,2014,3.03718530464907
1,8,334,2019,3.10832468304941
1,8,337,2014,3.11820158254993
1,8,337,2019,3.11318677817923
1,8,340,2014,3.05442595687015
1,8,340,2019,3.12383912038236
1,9,343,2014,2.99176921516765
1,9,343,2019,3.06411083676767
1,9,346,2014,3.02049527121624
1,9,346,2019,3.11823504884483
1,9,349,2014,3.14160862246259
1,9,349,2019,3.10505782311149
1,9,352,2014,3.13781011007328
1,9,352,2019,3.13765660340454
1,9,355,2014,3.1138442416386
1,9,355,2019,3.13704875422217
1,9,358,2014,2.91290378331636
1,9,358,2019,3.07450626402199
1,9,361,2014,3.02059865543455
1,9,361,2019,3.09107197226628
1,9,364,2014,3.03787719432799
1,9,364,2019,2.99053217991455
1,9,367,2014,3.17148180745701
1,9,367,2019,3.06950335891967
1,9,370,2014,2.92855724153064
1,9,370,2019,3.02483847179116
1,9,373,2019,3.13339954273435
1,16,376,2014,3.09071341363384
1,16,376,2019,3.11694939908311
1,16,379,2014,2.56852400302194
1,16,379,2019,2.87905522270802
1,16,382,2019,3.02347070269912
1,16,385,2014,2.6221795094095
1,16,385,2019,3.04022387896593
1,16,388,2014,2.7583821748054
1,16,388,2019,2.9877430288025
1,16,391,2019,2.99922552248919
1,16,394,2014,2.73619605972709
1,16,394,2019,3.03830415266378
1,16,397,2014,2.64080643546197
1,16,397,2019,3.03654278127445
1,16,400,2019,3.05449289958829
1,16,403,2014,2.92578621570562
1,16,403,2019,3.00955817339175
1,16,406,2014,2.63112703205906
1,16,406,2019,3.05684129343827
1,16,409,2014,2.94524486718714
1,16,409,2019,3.08034507135708
1,16,412,2019,2.97543495698395
1,16,415,2014,2.61233083450277
1,16,415,2019,3.00805296617858
1,16,418,2014,2.90711889804903
1,16,418,2019,3.08225810992656
1,16,421,2019,2.97445406678537
1,16,424,2014,2.54844404055878
1,16,424,2019,3.02960906104017
1,16,427,2014,2.8833416596988
1,16,427,2019,3.04843080564744
1,16,430,2019,3.02868715450597
1,16,433,2014,2.76636307233282
1,16,433,2019,3.05652225278685
1,16,436,2014,2.77546243945529
1,16,436,2019,3.0392595662308
1,16,439,2019,3.02690595139555
1,16,442,2014,3.06506703970897
1,16,442,2019,3.115403801882
1,16,445,2014,2.97059412330235
1,16,445,2019,3.05339271504153
1,16,448,2019,3.07728411485589
1,16,451,2014,2.9169153843625
1,16,451,2019,2.95664769320462
1,17,454,2014,2.98961415637619
1,17,454,2019,3.07980886453217
1,17,457,2014,2.9093459169158
1,17,457,2019,3.04621320431887
1,17,460,2014,2.80484962762434
1,17,460,2019,3.02576299514023
1,17,463,2014,2.97336691912972
1,17,463,2019,3.05732974787169
1,17,466,2014,2.95459813504244
1,17,466,2019,3.08079611056488
1,17,469,2014,2.92323899054905
1,17,469,2019,3.03447952008815
1,17,472,2014,2.89200589789298
1,17,472,2019,3.07901632252527
1,17,475,2019,3.07554730463336
1,17,478,2014,2.96410368970516
1,17,478,2019,3.05876440779249
1,17,481,2014,2.90313860511662
1,17,481,2019,3.04761295513789
1,17,484,2014,2.95668523105371
1,17,484,2019,3.1076502500433
1,17,487,2014,2.98667383268005
1,17,487,2019,3.03103749048319
1,17,490,2014,2.85502147241306
1,17,490,2019,3.09025321753641
1,17,493,2014,2.64601344929982
1,17,493,2019,2.63994099348295
1,17,496,2014,2.73349357005075
1,17,496,2019,3.04488292434385
1,17,499,2014,3.04060507896537
1,17,499,2019,2.87112055595111
1,17,502,2014,3.04566301868445
1,17,502,2019,3.07530772710687
1,17,505,2014,2.90415731034219
1,17,505,2019,3.0253469588976
1,17,508,2014,2.94417398561337
1,17,508,2019,2.94902629202963
1,17,511,2014,2.93773151719445
1,17,511,2019,3.08866439719747
1,17,514,2019,2.75998950248037
1,17,517,2014,2.80821847961527
1,17,517,2019,3.01532208084787
1,17,520,2019,3.0458710326106
1,17,523,2014,2.93282500782442
1,17,523,2019,3.07237295575113
1,18,526,2014,3.10332332796157
1,18,526,2019,3.0685185602877
1,18,529,2014,2.9251991057871
1,18,529,2019,3.08055857814805
1,18,532,2014,3.03353066832942
1,18,532,2019,3.10195413220045
1,18,535,2014,3.061308025577
1,18,535,2019,3.13333930502106
1,18,538,2014,2.8010203885483
1,18,538,2019,3.06472433931146
1,18,541,2019,3.1080121867403
1,18,544,2014,2.86297519828613
1,18,544,2019,3.02341165915036
1,18,547,2019,3.01540523206318
1,18,550,2014,2.43461693761259
1,18,550,2019,2.84865776668092
1,18,553,2014,3.06436714436346
1,18,553,2019,3.09308371892573
1,18,556,2019,3.12298536898956
1,18,559,2014,2.93624578941596
1,18,559,2019,2.94909172570092
1,18,562,2014,2.8023478585197
1,18,562,2019,3.00577644161191
1,18,565,2014,2.94588556635681
1,18,565,2019,2.64708987352102
1,18,568,2019,3.0063504060096
1,18,571,2014,2.99429973471736
1,18,571,2019,3.03820854277378
1,18,574,2014,2.94734686327439
1,18,574,2019,3.08903998111566
1,18,577,2019,3.1044159708087
1,18,580,2014,2.99130965621262
1,18,580,2019,3.06312122136165
1,18,583,2014,3.08401757540975
1,18,583,2019,3.09966113201497
1,18,586,2019,2.96886850933359
1,18,589,2019,2.94772204223097
1,19,592,2014,2.96739616355543
1,19,592,2019,3.03116071687075
1,19,622,2014,3.01246320062287
1,19,622,2019,3.00215386690648
1,19,623,2014,2.33204325561129
1,19,623,2019,2.56562741732649
1,19,625,2014,2.81573616157608
1,19,625,2019,2.86009656732268
1,19,626,2014,2.88099845402546
1,19,626,2019,3.07207182995002
1,19,628,2014,3.05147106066727
1,19,628,2019,3.03293581358803
1,19,631,2014,3.07303456723629
1,19,631,2019,2.98319849416008
