water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,water_area,trees_area,grass_area,flooded_vegetation_area,crops_area,shrub_and_scrub_area,built_area,bare_area,snow_and_ice_area,Location,Label,Prediction
,0.005186521448194981,0.0029743800405412912,0.005109864752739668,0.010443316772580147,0.003122186753898859,,,,0.0,50001.0,147.0,4.0,9.0,4.0,0.0,0.0,0.0,107.14800262451172 + 16.58017921447754,2.3865116,2.4090672
0.0035390465054661036,0.00317656178958714,0.0019000353058800101,0.0027033952064812183,0.0034545715898275375,0.0030107363127171993,0.005213528871536255,0.0053492262959480286,,234.0,28032.0,139.0,104.0,4111.0,5411.0,11543.0,48.0,0.0,103.95587158203125 + 21.285375595092773,2.5544233,2.4940112
0.0036951666697859764,0.003214214462786913,0.004138592630624771,0.0040914881974458694,0.0044789742678403854,0.004851490259170532,0.004088291898369789,0.009875189512968063,,1395.0,27457.0,705.0,531.0,7822.0,1100.0,8346.0,44.0,0.0,105.31776428222656 + 19.031469345092773,2.3698373,2.4349556
0.0009719381341710687,0.0017366826068609953,0.0022499787155538797,0.0014524328289553523,0.002191182691603899,0.0022794322576373816,0.0031137955375015736,0.0044696456752717495,,4543.0,2404.0,573.0,717.0,11243.0,118.0,30136.0,56.0,0.0,106.61962890625 + 20.914993286132812,2.8735223,3.194867
0.01584518514573574,0.004019687883555889,0.006660050246864557,0.0037203007377684116,0.0055407132022082806,0.005509398877620697,0.007634887006133795,0.008415763266384602,,60.0,28068.0,182.0,877.0,6314.0,11708.0,1114.0,19.0,0.0,107.97491455078125 + 12.241935729980469,2.2223141,2.0854788
0.007352547720074654,0.005828173831105232,0.0040708198212087154,0.004273618571460247,0.004311207681894302,0.008660348132252693,0.005562453530728817,0.012010731734335423,,1062.0,473.0,2368.0,2654.0,40018.0,506.0,1348.0,28.0,0.0,104.87380981445312 + 10.426667213439941,2.0835252,2.19598
0.00445508910343051,0.004556715954095125,0.005898365285247564,0.005914242006838322,0.007581549230962992,0.006038087885826826,0.008573532104492188,0.010487356223165989,,1933.0,41889.0,1013.0,209.0,3330.0,380.0,956.0,15.0,0.0,106.97503662109375 + 11.152761459350586,2.734838,2.373732
0.0026185070164501667,0.0025421944446861744,0.002433883026242256,0.002548534655943513,0.0019128824351355433,0.002375963842496276,0.0041239503771066666,0.004684994928538799,,1226.0,9981.0,153.0,1008.0,15339.0,1548.0,19583.0,39.0,0.0,107.47025299072266 + 11.271077156066895,2.7017527,2.7949872
0.004764430690556765,0.005980738904327154,0.00527703994885087,0.005090639926493168,0.0066274176351726055,0.006470880936831236,0.005733287427574396,0.011217284016311169,,274.0,42238.0,420.0,118.0,4462.0,1334.0,739.0,9.0,0.0,108.09745025634766 + 12.118659973144531,2.001984,1.9806199
0.004749150946736336,0.003525448963046074,0.003453487530350685,0.003514310112223029,0.004474104382097721,0.003923170268535614,0.005304783117026091,0.006364995148032904,,913.0,26357.0,602.0,637.0,6753.0,885.0,9620.0,160.0,0.0,105.51610565185547 + 20.860902786254883,2.6251183,2.1115437
0.00661231204867363,0.0053961314260959625,0.005224163644015789,0.0044964333064854145,0.005972653161734343,0.005600925534963608,0.006829216144979,0.0016437253216281533,,7.0,41785.0,2116.0,375.0,1956.0,1097.0,2160.0,9.0,0.0,106.41979217529297 + 11.338990211486816,2.8103335,2.5310116
0.0003033280954696238,0.002725107129663229,0.003418934065848589,0.004187094513326883,0.004563366062939167,0.005678409244865179,0.003998961299657822,,,7.0,42690.0,843.0,2070.0,458.0,269.0,1539.0,0.0,0.0,104.93106079101562 + 23.05707550048828,1.3885115,1.539749
0.004535439424216747,0.0038312168326228857,0.0036995504051446915,0.0023215177934616804,0.003551688976585865,0.0038619055412709713,0.0038231653161346912,0.02759622596204281,,218.0,13789.0,64.0,900.0,9154.0,1789.0,23363.0,7.0,0.0,107.99549102783203 + 13.948662757873535,2.8474822,2.5851316
0.0031836680136621,0.0037410343065857887,0.004616505466401577,0.004734307527542114,0.004589781165122986,0.006192037835717201,0.0036336067132651806,0.014830775558948517,,1991.0,19139.0,2712.0,1506.0,9433.0,1598.0,3239.0,57.0,0.0,105.44995880126953 + 20.43414878845215,2.352268,2.2768712
0.005458580330014229,0.0029270045924931765,0.002085599582642317,0.003062536707147956,0.004101953003555536,0.004139187280088663,0.0035016254987567663,0.002300768857821822,0.0028203302063047886,9016.0,28909.0,995.0,1036.0,1798.0,3752.0,488.0,412.0,1311.0,104.73410034179688 + 22.691009521484375,1.5683409,1.7346423
0.00485212029889226,0.004830087535083294,0.005941877607256174,0.006129561923444271,0.006692545022815466,0.005727521143853664,0.00818247813731432,,,652.0,43421.0,599.0,732.0,1978.0,122.0,2104.0,0.0,0.0,104.9326400756836 + 19.64175033569336,1.9943275,1.996577
0.0026746196672320366,0.004899227526038885,0.006085475906729698,0.006582261063158512,0.0080763204023242,0.00572536326944828,0.008036129176616669,0.007202353794127703,0.0020399081986397505,97.0,39298.0,674.0,169.0,560.0,6858.0,1903.0,245.0,2.0,108.5301513671875 + 12.052549362182617,2.4200888,2.450745
